lot_0,acid_1,acid_mn_2,acid_mp_3,acid_pdi_4,acid_ls_5,scale_6,eda_7,edc_8,nhs_9,time_10,solvent_11,temp_12,amine_mn_13,amine_mp_14,amine_pdi_15,LS_16,fgi_LS_17,dMn_18,dLS_19,time_dummy_20,scale_dummy_21,yield_SK3,yield_UCHT1,yield_53_67,MFI_SK3,SK3_agg,MFI_UCHT1,UCHT1_agg,MFI_53_67,53_67_agg
,1519,56,98,1.79,128,50,2000,200,200,1,ACN,20,58,100,1.78,88,,2,40,0,0,,50,42,,,,,,
,1519,56,98,1.79,128,50,2000,300,200,1,ACN,20,59,105,1.77,117,,3,11,0,0,,49,38,,,,,,
,1232,58,109,1.9,220,50,1700,250,200,1,ACN,20,63,114,1.82,146,,5,74,0,0,,38,34,,,161,,128,
,1232,58,109,1.9,220,50,1700,300,200,1,ACN,20,63,114,1.83,169,,5,51,0,0,,,,,,,,,
,1232,58,109,1.9,220,50,1700,400,200,1,ACN,20,64,114,1.81,186,,6,34,0,0,,,,,,,,,
,1232,58,109,1.9,220,50,1700,500,200,1,ACN,20,63,113,1.81,194,,5,26,0,0,,,,,,,,,
,1232,58,109,1.9,220,50,1700,100,200,1,ACN,20,58,109,1.89,59,,0,161,0,0,,20,16,,,156,med,,low
,1232,58,109,1.9,220,50,1700,100,100,1,ACN,20,59,107,1.87,86,,1,134,0,0,,44,32,,,139,low,,low
,1232,58,109,1.9,220,50,1700,300,100,1,ACN,10,61,113,1.88,142,,3,78,0,0,,30,40,,,178,low,,low
,1232,58,109,1.9,220,50,1700,300,200,1,ACN,10,59,107,1.91,90,,1,130,0,0,,40,39,,,170,med,97,low
,1232,58,109,1.9,220,50,1700,200,200,1,ACN,20,60,109,1.88,111,,2,109,0,0,,42,37,,,154,med,96,low
,1303,58,93,1.75,151,50,1700,250,200,1,ACN,20,63,95,1.73,125,,5,26,0,0,,42,35,,,150,high,126,low
,1303,58,93,1.75,151,50,1700,300,200,1,ACN,20,63,95,1.72,134,,5,17,0,0,,39,41,,,145,high,126,low
,1303,58,93,1.75,151,50,1700,400,200,1,ACN,20,63,95,1.72,154,,5,-3,0,0,,,,,,,,,
,1303,58,93,1.75,151,50,1700,150,200,1,ACN,20,60,92,1.7,77,,2,74,0,0,,35,30,,,162,low,64,low
,1303,58,93,1.75,151,50,1700,150,150,1,ACN,20,61,93,1.7,93,,3,58,0,0,,62,50,,,146,low,81,low
,1303,58,93,1.75,151,50,1700,500,200,1,ACN,10,62,93,1.69,125,,4,26,0,0,,63,54,,,130,low,59,low
,1471,60.8,92.7,1.72,126,50,2000,200,200,1,ACN,20,61,90,1.6,122,,0.2,4,0,0,,40,44,,,128,low,76,low
,1232,56,108,1.91,220,50,5000,500,200,1,ACN,20,66,117,2.08,194,,10,28,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,5000,500,50,1,ACN,20,65,115,1.82,219,,9,3,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,200,1,ACN,20,62,117,1.97,184,,6,38,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,50,1,ACN,20,69,122,1.98,173,,13,49,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,2750,500,125,1,ACN,12,67,121,1.9,178,,11,44,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,2750,500,125,1,ACN,12,64,113,1.83,189,,8,33,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,5000,500,200,1,ACN,4,62,112,1.86,119,,6,103,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,5000,500,50,1,ACN,4,63,112,1.85,173,,7,49,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,200,1,ACN,4,62,114,1.89,148,,6,74,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,50,1,ACN,4,64,112,1.84,104,,8,118,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,4500,900,200,1,ACN,4,62,110,1.8,169,,6,53,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,4000,800,200,1,ACN,4,62,111,1.82,163,,6,59,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,3500,700,200,1,ACN,4,62,110,1.82,144,,6,78,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,3000,600,200,1,ACN,4,62,110,1.82,125,,6,97,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,4500,900,200,24,ACN,4,62,111,1.81,157,,6,65,1,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,600,2000,500,20,24,ACN,20,72,108,1.7,174.51,,5,16.2,1,1,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,2000,500,20,24,ACN,20,72,110,1.71,180.23,,5.2,10.48,1,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,2000,700,200,1,ACN,20,73,112,1.73,192.35,,6.2,-1.64,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,2000,300,20,1,ACN,20,72,110,1.75,181.1,,5.5,9.61,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1700,500,110,1,ACN,20,72,109,1.75,179.12,,4.7,11.59,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1400,700,20,1,ACN,20,72,111,1.75,166.43,,5.2,24.28,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1400,300,200,1,ACN,20,71,110,1.76,141.54,,4.5,49.17,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,2000,300,200,1,ACN,20,70,109,1.81,150.13,,3.1,40.58,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1400,700,200,1,ACN,20,70,108,1.76,174.96,,2.7,15.75,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1700,500,110,1,ACN,20,70,107,1.77,182.04,,2.6,8.67,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,2000,700,20,1,ACN,20,73,111,1.73,177.08,,5.9,13.63,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1400,300,20,1,ACN,20,73,111,1.73,167.71,,6.3,23,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1870,550,121,1,ACN,20,72,110,1.78,184.28,,4.8,6.43,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1530,450,121,1,ACN,20,72,108,1.79,179.2,,4.6,11.51,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1870,450,99,1,ACN,20,71,108,1.8,183.57,,4.1,7.14,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1530,550,99,1,ACN,20,71,108,1.77,178.79,,4.4,11.92,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1700,500,110,1,ACN,20,71,109,1.77,180.36,,4.1,10.35,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1530,450,99,1,ACN,20,72,111,1.76,181.28,,4.6,9.43,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1700,500,110,1,ACN,20,71,110,1.75,183.44,,4,7.27,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1870,550,99,1,ACN,20,72,111,1.79,184.77,,5.4,5.94,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1870,450,121,1,ACN,20,72,110,1.77,179.72,,4.6,10.99,0,0,,,,,,,,,
,,66.997,103.379,1.75,190.71,50,1530,550,121,1,ACN,20,72,111,1.76,178.82,,4.6,11.89,0,0,,,,,,,,,
,1385,49.69,90.55,1.84,151,50,1700,300,200,1,ACN,20,54,95,1.84,134.77,,4,16.23,0,0,,,,,,,,,
,1385,49.69,90.55,1.84,151,50,1700,200,200,1,ACN,20,53,95,1.84,102.45,,3.6,48.55,0,0,,,,,,,,,
,1385,49.69,90.55,1.84,151,50,1700,500,200,1,ACN,10,53,94,1.83,122.47,,3.7,28.53,0,0,,,,,,,,,
,1385,49.69,90.55,1.84,151,50,1700,400,200,1,ACN,10,53,95,1.84,111,,3.6,40,0,0,,,,,,,,,
,1385,49.69,90.55,1.84,151,50,1700,300,200,1,ACN,10,52,95,1.85,87.59,,2.2,63.41,0,0,,,,,,,,,
,1385,49.69,90.55,1.84,151,50,1700,200,200,1,ACN,10,52,94,1.83,60.09,,2.2,90.91,0,0,,,,,,,,,
,1569,59,90,1.59,103,50,5000,1000,200,1,ACN,4,63,90,1.54,124,,4,21,0,0,,,,,,,,,
,1569,59,90,1.59,103,50,1000,200,200,1,ACN,4,60,89,1.56,32,,1,71,0,0,,,,,,,,,
,1569,59,90,1.59,103,50,2000,500,200,1,ACN,4,60,91,1.54,103,,1,0,0,0,,,,,,,,,
,1569,59,90,1.59,103,50,2000,800,200,1,ACN,4,59,89,1.55,127,,0,24,0,0,,,,,,,,,
,1569,59,90,1.59,103,50,4500,900,200,1,ACN,4,59,89,1.55,116,,1,13,0,0,,,,,,,,,
,1303,58,93,1.75,151,50,2000,500,200,1,ACN,4,,,,92,,,59,0,0,,,,,,,,,
,1303,58,93,1.75,151,50,2000,800,200,1,ACN,4,,,,103,,,48,0,0,,,,,,,,,
1652,1303,58,93,1.75,151,1000,2000,500,200,24,ACN,4,61,91,1.69,117,111,3,34,1,1,,,,,,,,,
,1471,60.8,92.7,1.72,126,50,2000,500,200,1,ACN,4,,,,94,,,32,0,0,,,,,,,,,
,1471,60.8,92.7,1.72,126,50,2000,800,200,1,ACN,4,,,,128,,,-2,0,0,,,,,,,,,
1659,1471,60.8,92.7,1.72,126,1000,2000,500,200,24,ACN,4,60,91,1.73,105,,,21,1,1,,,,,,,,,
,1471,60.8,92.7,1.72,126,3500,2000,500,200,24,ACN,4,60,90,1.64,93,,,33,1,1,,,,,,,,,
1635,1569,59,90,1.59,103,650,2000,500,200,1,ACN,4,60,87,1.6,83,77,1,20,0,1,,,,,,,,,
,1583,68,118,1.89,140,1000,2000,500,200,24,ACN,4,70,121,1.83,81,,,59,1,1,,,,,,,,,
1665,1604,55,88,1.62,144,1000,2000,500,200,24,ACN,4,59,91,1.66,120,,4,24,1,1,,,,,,,,,
1666,1610,58,92,1.61,164,1000,2000,500,200,24,ACN,4,62,93,1.64,106,,4,58,1,1,,,,,,,,,
,1609,54,72,1.5,168,1000,2000,500,200,24,ACN,4,57,75,1.5,90,,3,78,1,1,,,,,,,,,
1670,1624,59,114,1.9,184,1000,2000,500,200,24,ACN,4,61,101,1.71,118,,2,66,1,1,,,,,,,,,
,1641,57,99,1.76,170,50,2000,500,200,1,ACN,20,62,102,1.68,160,,5,10,0,0,,,,,,,,,
,1641,57,99,1.76,170,50,2000,800,200,24,ACN,4,61,101,1.67,130,,4,40,1,0,,,,,,,,,
,1641,57,99,1.76,170,50,2000,200,200,1,ACN,20,60,99,1.69,90,,3,80,0,0,,,,,,,,,
,1643,58,89,1.58,149,50,2000,500,200,24,ACN,4,58,90,1.59,65,,0,84,1,0,,,,,,,,,
,1643,58,89,1.58,149,50,2000,500,200,1,ACN,20,62,93,1.6,154,,4,-5,0,0,,,,,,,,,
,1643,58,89,1.58,149,50,2000,800,200,24,ACN,4,62,93,1.59,123,,4,26,1,0,,,,,,,,,
,1643,58,89,1.58,149,50,2000,200,200,1,ACN,20,61,92,1.64,84,,3,65,0,0,,,,,,,,,
,1636,59,100,1.76,137,50,2000,500,200,24,ACN,4,61,103,1.74,92,,2,45,1,0,,,,,,,,,
,1643,58,89,1.58,149,1000,2000,650,200,24,ACN,4,61,91,1.59,105,,3,44,1,1,,,,,,,,,
,1643,58,89,1.58,149,1000,2000,200,200,1,ACN,20,60,91,1.6,84,,2,65,0,1,,,,,,,,,
D2570,D2544,45,64,1.46,160,50,2000,500,200,24,ACN,4,48,65,1.6,86,,3,74,1,0,,,,,,,,,
D2571,D2544,45,64,1.46,160,50,2000,650,200,24,ACN,4,48,65,1.6,101,,3,59,1,0,,,,,,,,,
D2572,D2544,45,64,1.46,160,50,2000,800,200,24,ACN,4,48,63,1.6,107,,3,53,1,0,,,,,,,,,
D2574,1643,58,89,1.58,149,2000,2000,620,200,1,ACN,4,60,91,1.58,99,,2,50,0,1,,,,,,,,,
,1641,57,99,1.76,170,50,2000,600,200,24,ACN,4,57,97,1.69,106,,0,63,1,0,,,,,,,,,
D2581,D2555,57,100,1.77,196,50,2000,500,200,24,ACN,4,60,99,1.64,100,,3,96,1,0,,,,,,,,,
D2582,D2555,57,100,1.77,196,50,2000,800,200,24,ACN,4,61,100,1.63,127,,4,69,1,0,,,,,,,,,
D2586,D2555,57,100,1.77,196,50,2000,350,200,24,ACN,4,60,103,1.69,98,,3,98,1,0,,,,,,,,,
D2587,D2555,57,100,1.77,196,50,2000,450,200,24,ACN,4,60,103,1.7,103,,3,93,1,0,,,,,,,,,
D2583,1641,57,99,1.76,170,50,2000,500,200,24,ACN,4,,,,95,,,75,1,0,,,,,,,,,
D2584,1641,57,99,1.76,170,50,2000,550,200,24,ACN,4,,,,100,,,70,1,0,,,,,,,,,
D2585,1568,57,100,1.79,128,1000,2000,500,200,24,ACN,4,58,96,1.72,82,,1,46,1,1,,,,,,,,,
D2590,1625,55,93,1.72,140,1000,2000,500,200,24,ACN,4,60,98,1.71,87,,5,53,1,1,,,,,,,,,
D2589,1629,56,102,1.85,168,1000,2000,500,200,24,ACN,4,62,108,1.84,110,,6,58,1,1,,,,,,,,,
D2594,1602,61,109,1.83,179,1000,2000,500,200,24,ACN,4,,,,92,,,87,1,1,,,,,,,,,
D2578,1564,57,92,1.6,151,1000,2000,500,200,24,ACN,4,59,92,1.7,108,,2,43,1,1,,,,,,,,,
D2549,1583,68,118,1.82,140,1000,2000,500,200,24,ACN,4,70,121,1.83,81,,2,59,1,1,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,300,200,24,ACN,4,,,,67,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,350,200,24,ACN,4,,,,78,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,400,200,24,ACN,4,,,,88,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,450,200,24,ACN,4,,,,98,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,350,200,24,ACN,4,,,,87,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,450,200,24,ACN,4,,,,106,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,200,200,24,ACN,4,,,,43,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,50,2000,100,200,24,ACN,4,,,,21,,,,1,0,,,,,,,,,
,D2542,54.2,101,1.85,165,50,2000,800,200,24,ACN,4,,,,114,,,,1,0,,,,,,,,,
,D2542,54.2,101,1.85,165,50,2000,500,200,24,ACN,4,,,,86,,,,1,0,,,,,,,,,
,1633,59,114,1.98,197,50,2000,650,200,24,ACN,4,63,117,1.83,127,,,,1,0,,,,,,,,,
,1633,59,114,1.98,197,50,2000,800,200,24,ACN,4,64,120,1.82,141,,,,1,0,,,,,,,,,
,D2569,55,94,1.68,165,50,2000,800,200,24,ACN,4,,,,142,,,,1,0,,,,,,,,,
,D2577,52,94,1.75,186,50,2000,800,200,24,ACN,4,,,,141,,,,1,0,,,,,,,,,
,D2577,52,94,1.75,186,50,2000,650,200,24,ACN,4,,,,131,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,3700,2000,400,200,24,ACN,4,60,102,1.68,88,,,,1,1,,,,,,,,,
,D2632,54,78,1.39,127,50,2000,500,200,24,ACN,4,,,,90,,,,1,0,,,,,,,,,
D2613,D2593,54,74,1.44,140,50,2000,500,200,24,ACN,4,,,,87,,,,1,0,,,,,,,,,
D2614,D2593,54,74,1.44,140,50,2000,800,200,24,ACN,4,,,,110,,,,1,0,,,,,,,,,
D2672,D2656,56,97,1.6,175,50,2000,400,200,24,ACN,4,58,96,1.79,79,,,,1,0,,,,,,,,,
D2673,D2656,56,97,1.6,175,50,2000,500,200,24,ACN,4,57,92,1.79,91,,,,1,0,,,,,,,,,
D2674,D2656,56,97,1.6,175,50,2000,650,200,24,ACN,4,58,93,1.77,106,,,,1,0,,,,,,,,,
D2675,D2656,56,97,1.6,175,50,2000,800,200,24,ACN,4,58,95,1.78,120,,,,1,0,,,,,,,,,
